person_id,人名,显示名,字或号,正式称号,建议文件名
chengwen,成文,,,辽东巡抚,portrait_chengwen.png
chengwende,程文德,,,浙江承宣布政使,portrait_chengwende.png
chengxin,程信,,,南京兵部尚书兼大理寺卿,portrait_chengxin.png
chengxu,程徐,,,兵部尚书,portrait_chengxu.png
chengyong,成勇,,,御史,portrait_chengyong.png
chenheng,陈亨,,,泾国公,portrait_chenheng.png
chenhou,陈逅,,,惠安县知县,portrait_chenhou.png
chenhuai,陈怀,,,平乡伯,portrait_chenhuai.png
chenji,陈济,,,右春坊左赞,portrait_chenji.png
chenji-2,陈继,,,翰林院检讨,portrait_chenji_2.png
chenjian,陈鉴,,,监察御史,portrait_chenjian.png
chenjingzong,陈敬宗,,,刑部主事,portrait_chenjingzong.png
chenjiru,陈继儒,,仲醇,同郡大学士,portrait_chenjiru.png
chenjitai,陈际泰,,,行人司行人,portrait_chenjitai.png
chenjiuchou,陈九畴,,禹学,副都御史,portrait_chenjiuchou.png
chenjiuchuan,陈九川,,,同进士,portrait_chenjiuchuan.png
chenjun,陈俊,,,福建等处承宣布政使,portrait_chenjun.png
chenkai,陈垲,,,山东章丘县知县,portrait_chenkai.png
chenliangmo,陈良谟,,士亮、宾日,四川道监察御史,portrait_chenliangmo.png
chenlin,陈璘,,朝爵,水军都督,portrait_chenlin.png
chenlongzheng,陈龙正,,惕龙,中书舍人,portrait_chenlongzheng.png
chenmao,陈懋,,舜卿,宁阳侯,portrait_chenmao.png
chenmaolie,陈茂烈,,,吉安府推官,portrait_chenmaolie.png
chenmin,陈敏,,,四川茂州知州,portrait_chenmin.png
chenmo,陈谟,,,山东乡试第二十名举人,portrait_chenmo.png
chennanbin,陈南宾,,,蜀府长史,portrait_chennanbin.png
chenning,陈宁,,,广德知府,portrait_chenning.png
chenqia,陈洽,,叔远,节愍,portrait_chenqia.png
chenqianfu,陈潜夫,,,监察御史,portrait_chenqianfu.png
chenqiyu,陈奇瑜,,玉铉，一字正学,延绥巡抚,portrait_chenqiyu.png
chenren,陈仁,,,员外郎,portrait_chenren.png
chenrenxi,陈仁锡,,,翰林院编修,portrait_chenrenxi.png
chenshiqi,陈士启,,,礼部郎中,portrait_chenshiqi.png
chenshu,陈束,,,员外郎,portrait_chenshu.png
chensixian,陈思贤,,,广东承宣布政使,portrait_chensixian.png
chentai,陈泰,,,都察院右副都御史,portrait_chentai.png
chentailai,陈泰来,,,诗人,portrait_chentailai.png
chenwance,陈万策,,,国子监博士,portrait_chenwance.png
chenwen,陈文,,,东海侯,portrait_chenwen.png
chenwenhui,陈汶辉,,耿光,大理寺少卿,portrait_chenwenhui.png
chenwude,陈吾德,,,广东承宣布政使,portrait_chenwude.png
chenxianzhang,陈献章,,,翰林院检讨,portrait_chenxianzhang.png
chenxingshan,陈性善,,,行人,portrait_chenxingshan.png
chenxinjia,陈新甲,,方恒,兵部尚书,portrait_chenxinjia.png
chenxiu,陈修,,,吏部尚书,portrait_chenxiu.png
chenxu,陈旭,,,云阳伯,portrait_chenxu.png
chenxuan,陈瑄,,彦纯,平江伯,portrait_chenxuan.png
chenxuan-2,陈选,,,广东左布政使,portrait_chenxuan_2.png
chenxun,陈循,,德遵,华盖殿大学士,portrait_chenxun.png
chenyan,陈演,,发圣,户部尚书,portrait_chenyan.png
chenyanhui,陈彦回,,,徽州知府,portrait_chenyanhui.png
chenyi,陈镒,,有戒,监察御史,portrait_chenyi.png
chenyi-2,陈沂,,,楚王,portrait_chenyi_2.png
chenyin,陈音,,,太常寺卿,portrait_chenyin.png
chenying,陈瑛,,,都察院左都御史,portrait_chenying.png
chenyiqin,陈以勤,,逸甫,礼部尚书,portrait_chenyiqin.png
chenyouliang,陈友谅,,,安南国王,portrait_chenyouliang.png
chenyounian,陈有年,,,诏拜吏部尚书,portrait_chenyounian.png
chenyouxue,陈幼学,,,历员外郎,portrait_chenyouxue.png
chenyu,陈遇,,,工部尚书,portrait_chenyu.png
chenyuting,陈于廷,,孟谔,刑部尚书,portrait_chenyuting.png
chenzan,陈瓒,,,南京户部尚书,portrait_chenzan.png
